No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,year
7,Kelenna Azubuike,SF,6-5,220,"December 16, 1983",gb,3,Kentucky,2010
18,Raja Bell,SG,6-5,204,"September 19, 1976",vi,9,"Boston University, Florida International University",2010
15,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,5,,2010
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,R,Davidson,2010
8,Monta Ellis,SG,6-3,185,"October 26, 1985",us,4,,2010
19,Devean George,SF,6-8,220,"August 29, 1977",us,10,Augsburg College,2010
31,Chris Hunter,C,6-11,240,"July 7, 1984",us,R,Michigan,2010
1,Stephen Jackson,PF,6-8,218,"April 5, 1978",us,9,Butler County Community College,2010
11,Coby Karl,SF,6-5,215,"March 6, 1983",us,1,Boise State,2010
2,Acie Law,PG,6-3,195,"January 25, 1985",us,2,Texas A&M,2010
50,Corey Maggette,PF,6-6,218,"November 12, 1979",us,10,Duke,2010
20,Cartier Martin,SF,6-7,220,"November 20, 1984",us,1,Kansas State,2010
33,Mikki Moore,C,6-11,225,"November 4, 1975",us,11,Nebraska,2010
22,Anthony Morrow,SG,6-5,210,"September 27, 1985",us,1,Georgia Tech,2010
77,Vladimir Radmanović,PF,6-10,227,"November 19, 1980",ba,8,,2010
4,Anthony Randolph,C,6-10,205,"July 15, 1989",de,1,LSU,2010
44,Anthony Tolliver,PF,6-8,240,"June 1, 1985",us,1,Creighton,2010
21,Ronny Turiaf,C,6-10,249,"January 13, 1983",mq,4,Gonzaga,2010
23,C.J. Watson,PG,6-2,175,"April 17, 1984",us,2,Tennessee,2010
55,Reggie Williams,SF,6-6,205,"September 14, 1986",us,R,Virginia Military Institute,2010
4,Jeff Adrien,PF,6-7,245,"February 10, 1986",us,R,UConn,2011
19,Lou Amundson,PF,6-9,220,"December 7, 1982",us,4,UNLV,2011
34,Charlie Bell,SG,6-3,200,"March 12, 1979",us,6,Michigan State,2011
15,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,6,,2011
25,Rodney Carney,SF,6-7,205,"April 15, 1984",us,4,Memphis,2011
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,1,Davidson,2011
8,Monta Ellis,SG,6-3,185,"October 26, 1985",us,5,,2011
50,Dan Gadzuric,C,6-11,240,"February 2, 1978",nl,8,UCLA,2011
2,Acie Law,PG,6-3,195,"January 25, 1985",us,3,Texas A&M,2011
10,David Lee,PF,6-9,245,"April 29, 1983",us,5,Florida,2011
7,Jeremy Lin,PG,6-3,200,"August 23, 1988",us,R,Harvard University,2011
77,Vladimir Radmanović,PF,6-10,227,"November 19, 1980",ba,9,,2011
23,Al Thornton,PF,6-8,220,"December 7, 1983",us,3,Florida State,2011
20,Ekpe Udoh,C,6-10,245,"May 20, 1987",us,R,"Michigan, Baylor",2011
55,Reggie Williams,SF,6-6,205,"September 14, 1986",us,1,Virginia Military Institute,2011
32,Brandan Wright,PF,6-10,210,"October 5, 1987",us,2,UNC,2011
1,Dorell Wright,SF,6-9,205,"December 2, 1985",us,6,,2011
40,Earl Barron,C,7-0,250,"August 14, 1981",us,5,Memphis,2012
34,Keith Benson,C,6-11,240,"August 13, 1988",us,R,Oakland,2012
15,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,7,,2012
54,Kwame Brown,C,6-11,270,"March 10, 1982",us,10,,2012
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,2,Davidson,2012
8,Monta Ellis,SG,6-3,185,"October 26, 1985",us,6,,2012
32,Mickell Gladness,PF,6-11,220,"July 26, 1986",us,R,Alabama A&M University,2012
44,Richard Jefferson,SF,6-7,233,"June 21, 1980",us,10,Arizona,2012
22,Charles Jenkins,PG,6-3,220,"February 28, 1989",us,R,Hofstra,2012
10,David Lee,PF,6-9,245,"April 29, 1983",us,6,Florida,2012
5,Dominic McGuire,PF,6-9,220,"October 20, 1985",us,4,"California, Fresno State",2012
31,Mikki Moore,C,6-11,225,"November 4, 1975",us,12,Nebraska,2012
2,Nate Robinson,PG,5-9,180,"May 31, 1984",us,6,Washington,2012
4,Brandon Rush,SF,6-6,220,"July 7, 1985",us,3,Kansas,2012
12,Ish Smith,PG,6-0,175,"July 5, 1988",us,1,Wake Forest,2012
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,R,Washington State,2012
3,Jeremy Tyler,C,6-10,260,"June 21, 1991",us,R,,2012
20,Ekpe Udoh,C,6-10,245,"May 20, 1987",us,1,"Michigan, Baylor",2012
33,Chris Wright,SF,6-8,226,"September 30, 1988",us,R,Dayton,2012
1,Dorell Wright,SF,6-9,205,"December 2, 1985",us,7,,2012
40.0,Harrison Barnes,SF,6-8,225,"May 30, 1992",us,R,UNC,2013
20.0,Kent Bazemore,SG,6-4,195,"July 1, 1989",us,R,Old Dominion,2013
15.0,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv,8,,2013
12.0,Andrew Bogut,C,7-0,260,"November 28, 1984",au,7,Utah,2013
30.0,Stephen Curry,PG,6-2,185,"March 14, 1988",us,3,Davidson,2013
31.0,Festus Ezeli,C,6-11,255,"October 21, 1989",ng,R,Vanderbilt,2013
23.0,Draymond Green,SF,6-6,230,"March 4, 1990",us,R,Michigan State,2013
2.0,Jarrett Jack,SG,6-3,200,"October 28, 1983",us,7,Georgia Tech,2013
44.0,Richard Jefferson,SF,6-7,233,"June 21, 1980",us,11,Arizona,2013
22.0,Charles Jenkins,SG,6-3,220,"February 28, 1989",us,1,Hofstra,2013
,Dwayne Jones,PF,6-11,250,"June 9, 1983",us,5,Saint Joseph's,2013
7.0,Carl Landry,PF,6-9,248,"September 19, 1983",us,5,"Vincennes University, Purdue",2013
10.0,David Lee,PF,6-9,245,"April 29, 1983",us,7,Florida,2013
