Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
1,Monta Ellis,24,64,64,41.4,9.9,22.0,0.449,1.2,3.6,0.338,8.7,18.4,0.47,0.476,4.6,6.1,0.753,0.7,3.3,4.0,5.3,2.2,0.4,3.8,3.0,25.5,2010
2,Stephen Curry,21,80,77,36.2,6.6,14.3,0.462,2.1,4.8,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,2010
3,Stephen Jackson,31,9,9,33.3,6.2,14.8,0.421,1.2,4.4,0.275,5.0,10.3,0.484,0.462,2.9,4.1,0.703,0.7,3.2,3.9,4.7,1.6,0.7,2.9,1.8,16.6,2010
4,Reggie Williams,23,24,10,32.6,5.8,11.8,0.495,1.4,3.8,0.359,4.5,8.0,0.56,0.553,2.2,2.6,0.839,0.8,3.8,4.6,2.8,1.0,0.3,1.2,2.0,15.2,2010
5,Anthony Tolliver,24,44,29,32.3,4.4,10.2,0.431,1.1,3.4,0.331,3.3,6.8,0.481,0.487,2.3,3.0,0.769,1.9,5.3,7.3,2.0,0.7,0.8,1.0,2.9,12.3,2010
6,Corey Maggette,30,70,49,29.7,6.5,12.7,0.516,0.2,0.7,0.26,6.3,11.9,0.531,0.523,6.6,7.9,0.835,1.3,4.0,5.3,2.5,0.7,0.1,2.4,3.3,19.8,2010
7,Anthony Morrow,24,69,37,29.2,4.8,10.2,0.468,2.0,4.4,0.456,2.7,5.7,0.477,0.568,1.5,1.7,0.886,0.9,2.9,3.8,1.5,0.9,0.2,1.2,2.3,13.0,2010
8,Cartier Martin,25,10,2,27.6,3.2,8.8,0.364,1.0,3.1,0.323,2.2,5.7,0.386,0.42,1.6,2.1,0.762,1.7,3.0,4.7,0.9,0.8,0.0,1.3,3.6,9.0,2010
9,C.J. Watson,25,65,15,27.5,3.8,8.1,0.468,0.7,2.2,0.31,3.1,5.9,0.527,0.51,2.0,2.6,0.771,0.4,2.2,2.6,2.8,1.6,0.1,1.1,1.9,10.3,2010
10,Coby Karl,26,4,1,27.0,2.8,8.0,0.344,0.5,2.8,0.182,2.3,5.3,0.429,0.375,1.0,1.5,0.667,1.0,3.0,4.0,3.8,0.8,0.3,1.5,3.5,7.0,2010
11,Kelenna Azubuike,26,9,7,25.7,5.3,9.8,0.545,1.1,3.0,0.37,4.2,6.8,0.623,0.602,2.1,3.1,0.679,1.3,3.2,4.6,1.1,0.6,1.0,0.8,1.8,13.9,2010
12,Andris Biedriņš,23,33,29,23.1,2.5,4.2,0.591,0.0,0.0,,2.5,4.2,0.591,0.591,0.1,0.8,0.16,1.9,5.9,7.8,1.7,0.6,1.3,1.0,3.5,5.0,2010
13,Vladimir Radmanović,29,33,20,23.0,2.7,7.0,0.385,0.7,2.6,0.267,2.0,4.4,0.455,0.435,0.5,0.6,0.762,1.3,3.2,4.5,1.2,0.8,0.2,1.2,2.4,6.6,2010
14,Raja Bell,33,1,0,23.0,4.0,6.0,0.667,3.0,3.0,1.0,1.0,3.0,0.333,0.917,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,11.0,2010
15,Anthony Randolph,20,33,8,22.7,4.2,9.4,0.443,0.0,0.2,0.2,4.1,9.2,0.447,0.445,3.3,4.1,0.801,2.2,4.3,6.5,1.3,0.8,1.5,1.5,2.8,11.6,2010
16,Ronny Turiaf,27,42,20,20.8,2.0,3.5,0.582,0.0,0.0,0.0,2.0,3.5,0.586,0.582,0.9,1.9,0.474,1.3,3.3,4.5,2.1,0.5,1.3,1.2,2.3,4.9,2010
17,Mikki Moore,34,23,20,17.7,2.3,3.9,0.6,0.0,0.0,,2.3,3.9,0.6,0.6,0.3,0.5,0.636,1.1,1.9,3.0,1.6,0.2,0.6,0.9,2.6,5.0,2010
18,Devean George,32,45,4,16.9,2.0,4.6,0.432,1.1,2.7,0.39,0.9,1.8,0.494,0.549,0.4,0.5,0.696,0.5,2.1,2.5,0.7,0.9,0.2,0.3,2.0,5.4,2010
19,Acie Law,25,5,0,13.2,1.8,2.8,0.643,0.2,0.6,0.333,1.6,2.2,0.727,0.679,2.4,3.0,0.8,0.0,0.4,0.4,1.4,1.2,0.0,0.4,1.0,6.2,2010
20,Chris Hunter,25,60,9,13.1,1.8,3.6,0.502,0.0,0.1,0.0,1.8,3.6,0.512,0.502,0.9,1.2,0.754,0.9,1.9,2.8,0.6,0.2,0.6,0.5,2.2,4.5,2010
1,Monta Ellis,25,80,80,40.3,9.1,20.1,0.451,1.7,4.7,0.361,7.4,15.4,0.478,0.493,4.3,5.4,0.789,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5,24.1,2011
2,Dorell Wright,25,82,82,38.4,5.9,14.0,0.423,2.4,6.3,0.376,3.5,7.7,0.462,0.508,2.2,2.8,0.789,1.1,4.2,5.3,3.0,1.5,0.8,1.6,2.1,16.4,2011
3,David Lee,27,73,73,36.1,6.8,13.4,0.507,0.0,0.0,0.333,6.8,13.4,0.508,0.508,2.9,3.7,0.787,3.0,6.8,9.8,3.2,1.0,0.4,2.3,2.9,16.5,2011
4,Stephen Curry,22,74,74,33.6,6.8,14.2,0.48,2.0,4.6,0.442,4.8,9.6,0.498,0.551,2.9,3.1,0.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6,2011
5,Andris Biedriņš,24,59,55,23.7,2.4,4.5,0.534,0.0,0.0,,2.4,4.5,0.534,0.534,0.2,0.5,0.323,2.5,4.8,7.2,1.0,0.9,0.9,1.0,3.4,5.0,2011
6,Reggie Williams,24,80,9,20.3,3.4,7.2,0.469,1.3,3.0,0.423,2.1,4.1,0.502,0.558,1.3,1.7,0.746,0.6,2.1,2.7,1.5,0.4,0.0,0.7,1.6,9.2,2011
7,Ekpe Udoh,23,58,18,17.8,1.7,3.8,0.437,0.0,0.0,,1.7,3.8,0.437,0.437,0.7,1.1,0.656,1.4,1.7,3.1,0.7,0.4,1.5,0.8,2.5,4.1,2011
