Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
1,Stephen Curry,21,80,2896,0.462,16.5,,0.668,0.19,0.074,0.113,0.29,0.332,,0.474,0.599,0.376,0.388,0.452,0.437,,0.307,0.741,,0.0,0,,0.179,0.574,,6,0,2010
2,Monta Ellis,24,64,2647,0.449,12.1,,0.838,0.33,0.129,0.095,0.284,0.162,,0.47,0.623,0.331,0.396,0.381,0.338,,0.314,0.675,,0.017,17,,0.171,0.487,,4,0,2010
3,Corey Maggette,30,70,2081,0.516,10.1,,0.944,0.409,0.113,0.091,0.331,0.056,,0.531,0.685,0.33,0.383,0.451,0.26,,0.577,1.0,,0.053,45,,0.32,0.375,,2,0,2010
4,Anthony Morrow,24,69,2018,0.468,17.1,,0.563,0.139,0.094,0.148,0.182,0.437,,0.477,0.531,0.515,0.481,0.414,0.456,,0.434,0.957,,0.004,2,,0.3,0.457,,0,0,2010
5,C.J. Watson,25,65,1788,0.468,15.1,,0.725,0.231,0.078,0.089,0.328,0.275,,0.527,0.689,0.39,0.468,0.462,0.31,,0.455,0.933,,0.004,2,,0.4,0.293,,1,0,2010
6,Anthony Tolliver,24,44,1423,0.431,15.0,,0.663,0.254,0.089,0.067,0.252,0.337,,0.481,0.667,0.425,0.2,0.389,0.331,,0.797,1.0,,0.06,26,,0.298,0.356,,0,0,2010
7,Ronny Turiaf,27,42,872,0.582,5.9,,0.993,0.582,0.144,0.103,0.164,0.007,,0.586,0.8,0.381,0.2,0.25,0.0,,0.753,,,0.212,31,,0.0,,,0,0,2010
8,Chris Hunter,25,60,783,0.502,7.6,,0.982,0.479,0.175,0.115,0.212,0.018,,0.512,0.654,0.342,0.36,0.413,0.0,,0.697,,,0.134,25,,0.0,,,1,0,2010
9,Reggie Williams,23,24,782,0.495,13.7,,0.675,0.322,0.11,0.074,0.17,0.325,,0.56,0.714,0.323,0.429,0.479,0.359,,0.402,0.879,,0.042,12,,0.12,0.545,,2,0,2010
10,Andris Biedriņš,23,33,763,0.591,2.7,,1.0,0.657,0.336,0.007,0.0,0.0,,0.591,0.711,0.37,0.0,,,,0.704,,,0.19,26,,,,,0,0,2010
11,Devean George,32,45,761,0.432,19.9,,0.403,0.121,0.039,0.029,0.214,0.597,,0.494,0.52,0.625,0.333,0.477,0.39,,0.561,0.938,,0.01,2,,0.358,0.5,,0,0,2010
12,Vladimir Radmanović,29,33,758,0.385,13.9,,0.628,0.299,0.108,0.091,0.13,0.372,,0.455,0.58,0.2,0.476,0.367,0.267,,0.591,0.913,,0.061,12,,0.267,0.261,,0,0,2010
13,Anthony Randolph,20,33,749,0.443,8.9,,0.984,0.408,0.184,0.097,0.294,0.016,,0.447,0.587,0.386,0.3,0.341,0.2,,0.574,1.0,,0.097,30,,0.4,0.0,,1,0,2010
14,Mikki Moore,34,23,406,0.6,9.7,,1.0,0.389,0.122,0.078,0.411,0.0,,0.6,0.857,0.364,0.429,0.459,,,0.741,,,0.2,18,,,,,0,0,2010
15,Stephen Jackson,31,9,300,0.421,15.0,,0.699,0.218,0.15,0.06,0.271,0.301,,0.484,0.586,0.35,0.5,0.472,0.275,,0.267,0.818,,0.008,1,,0.175,0.286,,1,0,2010
16,Cartier Martin,25,10,276,0.364,14.1,,0.648,0.25,0.17,0.102,0.125,0.352,,0.386,0.591,0.267,0.222,0.273,0.323,,0.273,1.0,,0.0,0,,0.258,0.375,,0,0,2010
17,Kelenna Azubuike,26,9,231,0.545,11.8,,0.693,0.42,0.114,0.045,0.114,0.307,,0.623,0.784,0.5,0.25,0.3,0.37,,0.553,0.9,,0.136,12,,0.296,0.5,,0,0,2010
18,Coby Karl,26,4,108,0.344,13.5,,0.656,0.438,0.156,0.0,0.063,0.344,,0.429,0.571,0.2,,0.0,0.182,,0.444,1.0,,0.0,0,,0.091,0.0,,2,0,2010
19,Acie Law,25,5,66,0.643,7.4,,0.786,0.643,0.071,0.071,0.0,0.214,,0.727,0.778,0.0,1.0,,0.333,,0.375,0.0,,0.071,1,,0.667,0.0,,0,0,2010
20,Raja Bell,33,1,23,0.667,17.9,,0.5,0.0,0.167,0.167,0.167,0.5,,0.333,,1.0,0.0,0.0,1.0,,1.0,1.0,,0.0,0,,1.0,1.0,,0,0,2010
1,Monta Ellis,25,80,3227,0.451,14.2,,0.765,0.24,0.133,0.091,0.3,0.235,,0.478,0.703,0.377,0.322,0.39,0.361,,0.35,0.657,,0.027,41,,0.253,0.354,,10,1,2011
2,Dorell Wright,25,82,3147,0.423,16.1,,0.55,0.216,0.112,0.079,0.142,0.45,,0.462,0.665,0.367,0.275,0.331,0.376,,0.526,0.974,,0.065,71,,0.308,0.421,,2,0,2011
3,David Lee,27,73,2634,0.507,8.9,,0.997,0.354,0.236,0.12,0.287,0.003,,0.508,0.688,0.342,0.444,0.448,0.333,,0.675,1.0,,0.086,80,,0.0,,,0,0,2011
4,Stephen Curry,22,74,2489,0.48,16.2,,0.675,0.169,0.117,0.109,0.28,0.325,,0.498,0.618,0.439,0.383,0.495,0.442,,0.257,0.801,,0.004,3,,0.24,0.549,,4,0,2011
5,Reggie Williams,24,80,1626,0.469,15.8,,0.579,0.229,0.124,0.075,0.15,0.421,,0.502,0.702,0.352,0.372,0.384,0.423,,0.512,0.951,,0.026,15,,0.336,0.457,,2,0,2011
6,Andris Biedriņš,24,59,1397,0.534,3.7,,1.0,0.538,0.447,0.015,0.0,0.0,,0.534,0.643,0.412,0.25,,,,0.676,,,0.113,29,,,,,0,0,2011
7,Vladimir Radmanović,30,74,1169,0.431,16.8,,0.456,0.223,0.097,0.044,0.091,0.544,,0.462,0.634,0.355,0.143,0.31,0.405,,0.522,0.957,,0.041,13,,0.277,0.458,,0,0,2011
8,Ekpe Udoh,23,58,1030,0.437,7.3,,1.0,0.329,0.374,0.176,0.122,0.0,,0.437,0.534,0.422,0.308,0.407,,,0.515,,,0.086,17,,,,,0,0,2011
9,Lou Amundson,28,46,691,0.454,4.3,,1.0,0.617,0.23,0.087,0.066,0.0,,0.454,0.575,0.19,0.313,0.417,,,0.566,,,0.082,15,,,,,0,0,2011
10,Acie Law,26,40,632,0.467,10.2,,0.82,0.431,0.138,0.084,0.168,0.18,,0.526,0.639,0.304,0.5,0.429,0.2,,0.375,0.833,,0.0,0,,0.6,0.222,,0,0,2011
11,Rodney Carney,26,25,331,0.421,15.4,,0.654,0.187,0.159,0.056,0.252,0.346,,0.4,0.55,0.235,0.333,0.407,0.459,,0.643,1.0,,0.056,5,,0.514,0.526,,0,0,2011
12,Al Thornton,27,22,314,0.49,10.5,,0.99,0.26,0.221,0.202,0.308,0.01,,0.495,0.815,0.391,0.476,0.313,0.0,,0.529,,,0.077,6,,1.0,0.0,,0,0,2011
13,Dan Gadzuric,32,28,297,0.42,5.8,,0.989,0.5,0.284,0.068,0.136,0.011,,0.425,0.523,0.32,0.167,0.417,0.0,,0.649,,,0.125,10,,0.0,,,0,0,2011
14,Jeremy Lin,22,29,285,0.389,8.5,,0.931,0.417,0.264,0.056,0.194,0.069,,0.403,0.533,0.316,0.25,0.286,0.2,,0.407,0.0,,0.0,0,,0.2,0.0,,0,0,2011
15,Jeff Adrien,24,23,196,0.426,4.3,,1.0,0.574,0.315,0.093,0.019,0.0,,0.426,0.581,0.235,0.0,1.0,,,0.696,,,0.093,5,,,,,0,0,2011
16,Brandan Wright,23,21,195,0.603,5.6,,1.0,0.444,0.333,0.19,0.032,0.0,,0.603,0.75,0.619,0.333,0.0,,,0.763,,,0.111,7,,,,,0,0,2011
17,Charlie Bell,31,19,171,0.279,19.7,,0.512,0.07,0.093,0.07,0.279,0.488,,0.273,0.333,0.25,0.0,0.333,0.286,,0.833,1.0,,0.0,0,,0.524,0.364,,1,0,2011
1,David Lee,28,57,2121,0.503,7.5,,0.995,0.382,0.317,0.11,0.187,0.005,,0.506,0.688,0.366,0.475,0.39,0.0,,0.623,,,0.074,66,,0.0,,,0,0,2012
2,Brandon Rush,26,65,1717,0.501,16.1,,0.533,0.252,0.09,0.028,0.164,0.467,,0.544,0.686,0.31,0.385,0.481,0.452,,0.581,0.949,,0.064,26,,0.443,0.433,,2,0,2012
3,Dorell Wright,26,61,1650,0.422,17.5,,0.445,0.224,0.061,0.044,0.116,0.555,,0.5,0.712,0.25,0.435,0.246,0.36,,0.556,0.943,,0.055,28,,0.363,0.415,,2,0,2012
4,Klay Thompson,21,66,1608,0.443,17.2,,0.627,0.153,0.084,0.074,0.316,0.373,,0.46,0.7,0.217,0.434,0.414,0.414,,0.623,0.928,,0.018,12,,0.213,0.474,,1,0,2012
