Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
Team,82.0,19730,3329,7094,0.469,633,1687,0.375,2696,5407,0.499,1631,2085,0.782,753,2397,3150,1839,761,340,1204,1886,8922,2010
Team/G,,240.6,40.6,86.5,0.469,7.7,20.6,0.375,32.9,65.9,0.499,19.9,25.4,0.782,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0,108.8,2010
Lg Rank,,26,2,1,8.0,7,7,4.0,5,7,10.0,5,11,5.0,29,27,30,5,1,25,19,30,2,2010
Year/Year,,-0.8%,3.0%,0.6%,0.011,15.1%,14.4%,0.002,0.6%,-3.1%,0.018,-13.8%,-12.8%,-0.009,-21.0%,-3.8%,-8.6%,7.5%,19.3%,-35.5%,0.2%,2.4%,0.2%,2010
Opponent,82.0,19730,3409,7033,0.485,567,1514,0.375,2842,5519,0.515,1832,2390,0.767,1100,2842,3942,1979,645,407,1442,1757,9217,2010
Opponent/G,,240.6,41.6,85.8,0.485,6.9,18.5,0.375,34.7,67.3,0.515,22.3,29.1,0.767,13.4,34.7,48.1,24.1,7.9,5.0,17.6,21.4,112.4,2010
Lg Rank,,26,30,29,29.0,23,16,28.0,30,29,26.0,30,30,25.0,30,29,30,29,26,17,1,10,30,2010
Year/Year,,-0.8%,0.2%,-3.3%,0.017,-2.6%,-1.1%,-0.006,0.8%,-3.9%,0.024,0.2%,1.9%,-0.013,-5.6%,5.5%,2.1%,-0.1%,-0.3%,-1.7%,17.3%,-8.8%,0.1%,2010
Team,82.0,19830,3251,7047,0.461,685,1749,0.392,2566,5298,0.484,1290,1695,0.761,955,2370,3325,1847,737,406,1198,1806,8477,2011
Team/G,,241.8,39.6,85.9,0.461,8.4,21.3,0.392,31.3,64.6,0.484,15.7,20.7,0.761,11.6,28.9,40.5,22.5,9.0,5.0,14.6,22.0,103.4,2011
Lg Rank,,12,1,1,14.0,4,6,2.0,11,10,19.0,30,30,17.0,10,26,19,7,2,12,23,24,7,2011
Year/Year,,0.5%,-2.3%,-0.7%,-0.008,8.2%,3.7%,0.016,-4.8%,-2.0%,-0.014,-20.9%,-18.7%,-0.021,26.8%,-1.1%,5.6%,0.4%,-3.2%,19.4%,-0.5%,-4.2%,-5.0%,2011
Opponent,82.0,19830,3173,6788,0.467,567,1586,0.358,2606,5202,0.501,1755,2262,0.776,1051,2623,3674,2029,672,352,1324,1512,8668,2011
Opponent/G,,241.8,38.7,82.8,0.467,6.9,19.3,0.358,31.8,63.4,0.501,21.4,27.6,0.776,12.8,32.0,44.8,24.7,8.2,4.3,16.1,18.4,105.7,2011
Lg Rank,,12,22,19,21.0,22,22,13.0,22,17,26.0,29,29,26.0,30,26,30,29,29,6,2,30,27,2011
Year/Year,,0.5%,-6.9%,-3.5%,-0.017,0.0%,4.8%,-0.017,-8.3%,-5.7%,-0.014,-4.2%,-5.4%,0.009,-4.5%,-7.7%,-6.8%,2.5%,4.2%,-13.5%,-8.2%,-13.9%,-6.0%,2011
Team,66.0,15915,2489,5443,0.457,524,1351,0.388,1965,4092,0.48,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453,2012
Team/G,,241.1,37.7,82.5,0.457,7.9,20.5,0.388,29.8,62.0,0.48,14.4,18.7,0.77,9.7,29.5,39.2,22.3,8.0,5.5,13.9,21.4,97.8,2012
Lg Rank,,23,7,10,7.0,3,9,2.0,18,18,12.0,29,29,11.0,29,24,28,9,11,6,4,27,12,2012
Year/Year,,-0.3%,-4.9%,-4.0%,-0.004,-5.0%,-4.0%,-0.004,-4.9%,-4.0%,-0.004,-8.4%,-9.5%,0.009,-16.7%,2.1%,-3.3%,-1.1%,-11.0%,10.8%,-5.1%,-3.0%,-5.4%,2012
Opponent,66.0,15915,2461,5431,0.453,468,1281,0.365,1993,4150,0.48,1288,1725,0.747,869,2157,3026,1527,499,328,978,1095,6678,2012
Opponent/G,,241.1,37.3,82.3,0.453,7.1,19.4,0.365,30.2,62.9,0.48,19.5,26.1,0.747,13.2,32.7,45.8,23.1,7.6,5.0,14.8,16.6,101.2,2012
Lg Rank,,23,19,21,20.0,27,26,28.0,18,17,17.0,28,28,9.0,30,27,30,25,11,15,12,29,28,2012
Year/Year,,-0.3%,-3.6%,-0.6%,-0.014,2.5%,0.3%,0.008,-5.0%,-0.9%,-0.021,-8.8%,-5.3%,-0.029,2.7%,2.2%,2.3%,-6.5%,-7.7%,15.8%,-8.2%,-10.0%,-4.3%,2012
Team,82.0,19805,3130,6840,0.458,658,1632,0.403,2472,5208,0.475,1378,1744,0.79,885,2801,3686,1845,567,346,1236,1753,8296,2013
Team/G,,241.5,38.2,83.4,0.458,8.0,19.9,0.403,30.1,63.5,0.475,16.8,21.3,0.79,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2,2013
