No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,year
11,Rafer Alston,PG,6-2,171,"July 24, 1976",us,10,Fresno State,2010
50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,2,UNLV,2010
8,Carlos Arroyo,PG,6-2,202,"July 30, 1979",pr,7,Florida International University,2010
30,Michael Beasley,PF,6-9,235,"January 9, 1989",us,1,Kansas State,2010
6,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,1,Kansas,2010
14,Daequan Cook,SG,6-5,205,"April 28, 1987",us,2,Ohio State,2010
9,Yakhouba Diawara,SG,6-7,225,"August 29, 1982",fr,3,Pepperdine,2010
40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,6,Florida,2010
22,James Jones,SF,6-8,218,"October 4, 1980",us,6,Miami (FL),2010
21,Jamaal Magloire,C,6-11,259,"May 21, 1978",ca,9,Kentucky,2010
7,Jermaine O'Neal,C,6-11,226,"October 13, 1978",us,13,,2010
42,Shavlik Randolph,PF,6-10,240,"November 24, 1983",us,4,Duke,2010
5,Quentin Richardson,SF,6-6,223,"April 13, 1980",us,9,DePaul,2010
3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,6,Marquette,2010
1,Dorell Wright,SF,6-9,205,"December 2, 1985",us,5,,2010
50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,3,UNLV,2011
8,Carlos Arroyo,PG,6-2,202,"July 30, 1979",pr,8,Florida International University,2011
0,Mike Bibby,PG,6-1,190,"May 13, 1978",us,12,Arizona,2011
1,Chris Bosh,PF,6-11,235,"March 24, 1984",us,7,Georgia Tech,2011
15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,2,Kansas,2011
25,Erick Dampier,C,6-11,265,"July 14, 1975",us,14,Mississippi State,2011
40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,7,Florida,2011
55,Eddie House,SG,6-1,180,"May 14, 1978",us,10,Arizona State,2011
5,Juwan Howard,PF,6-9,240,"February 7, 1973",us,16,Michigan,2011
11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt,12,,2011
6,LeBron James,SF,6-9,250,"December 30, 1984",us,7,,2011
22,James Jones,SF,6-8,218,"October 4, 1980",us,7,Miami (FL),2011
21,Jamaal Magloire,C,6-11,259,"May 21, 1978",ca,10,Kentucky,2011
13,Mike Miller,SG,6-8,218,"February 19, 1980",us,10,Florida,2011
45,Dexter Pittman,C,6-11,308,"March 2, 1988",us,R,Texas,2011
42,Jerry Stackhouse,SG,6-6,218,"November 5, 1974",us,15,UNC,2011
3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,7,Marquette,2011
50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,4,UNLV,2012
31,Shane Battier,SF,6-8,220,"September 9, 1978",us,10,Duke,2012
1,Chris Bosh,PF,6-11,235,"March 24, 1984",us,8,Georgia Tech,2012
15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,3,Kansas,2012
30,Norris Cole,PG,6-2,175,"October 13, 1988",us,R,Cleveland State University,2012
34,Eddy Curry,C,7-0,295,"December 5, 1982",us,9,,2012
32,Mickell Gladness,PF,6-11,220,"July 26, 1986",us,R,Alabama A&M University,2012
14,Terrel Harris,SG,6-5,190,"August 10, 1987",us,R,Oklahoma State,2012
40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,8,Florida,2012
5,Juwan Howard,PF,6-9,240,"February 7, 1973",us,17,Michigan,2012
6,LeBron James,SF,6-9,250,"December 30, 1984",us,8,,2012
22,James Jones,SG,6-8,218,"October 4, 1980",us,8,Miami (FL),2012
13,Mike Miller,SG,6-8,218,"February 19, 1980",us,11,Florida,2012
