Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
1,Dwyane Wade,28,77,2792,0.476,11.2,,0.839,0.366,0.106,0.124,0.244,0.161,,0.509,0.682,0.45,0.353,0.356,0.3,,0.279,0.26,,0.081,115,,0.099,0.208,,4,0,2010
2,Michael Beasley,21,78,2328,0.45,11.6,,0.902,0.285,0.144,0.154,0.319,0.098,,0.469,0.652,0.42,0.306,0.407,0.275,,0.514,1.0,,0.072,69,,0.402,0.317,,1,0,2010
3,Udonis Haslem,29,78,2177,0.494,11.4,,1.0,0.266,0.087,0.218,0.429,0.0,,0.494,0.643,0.491,0.406,0.446,,,0.763,,,0.036,20,,,,,0,0,2010
4,Quentin Richardson,29,76,2082,0.431,18.0,,0.362,0.2,0.062,0.034,0.066,0.638,,0.493,0.625,0.314,0.316,0.351,0.397,,0.35,0.951,,0.036,18,,0.215,0.494,,0,0,2010
5,Jermaine O'Neal,31,70,1991,0.529,9.3,,0.997,0.281,0.203,0.323,0.191,0.003,,0.53,0.679,0.51,0.44,0.486,0.0,,0.541,,,0.091,66,,0.0,,,0,0,2010
6,Mario Chalmers,23,73,1807,0.401,17.4,,0.48,0.2,0.09,0.07,0.119,0.52,,0.491,0.56,0.537,0.438,0.37,0.318,,0.196,0.76,,0.009,4,,0.165,0.41,,5,0,2010
7,Carlos Arroyo,30,72,1585,0.475,16.0,,0.933,0.115,0.032,0.173,0.613,0.067,,0.489,0.488,0.417,0.554,0.474,0.28,,0.368,0.714,,0.0,0,,0.6,0.2,,0,0,2010
8,Dorell Wright,24,72,1496,0.463,15.3,,0.625,0.248,0.055,0.064,0.258,0.375,,0.508,0.731,0.435,0.407,0.333,0.389,,0.571,0.984,,0.086,33,,0.618,0.412,,1,0,2010
9,Joel Anthony,27,80,1322,0.478,3.0,,1.0,0.604,0.352,0.038,0.006,0.0,,0.478,0.51,0.429,0.5,0.0,,,0.632,,,0.214,25,,,,,0,0,2010
