Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
Team,82.0,19880,2984,6518,0.458,494,1426,0.346,2490,5092,0.489,1452,1931,0.752,875,2553,3428,1548,605,457,1079,1710,7914,2010
Team/G,,242.4,36.4,79.5,0.458,6.0,17.4,0.346,30.4,62.1,0.489,17.7,23.5,0.752,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,96.5,2010
Lg Rank,,5,26,25,17.0,17,17,19.0,22,21,20.0,21,21,19.0,19,13,15,28,12,4,4,16,25,2010
Year/Year,,-0.4%,-1.6%,-1.9%,0.001,-15.1%,-12.6%,-0.01,1.5%,1.5%,0.0,2.9%,3.2%,-0.002,5.7%,5.9%,5.8%,-7.4%,-7.1%,1.3%,5.2%,0.8%,-1.8%,2010
Opponent,82.0,19880,2813,6408,0.439,524,1531,0.342,2289,4877,0.469,1577,2091,0.754,856,2483,3339,1545,517,355,1184,1639,7727,2010
Opponent/G,,242.4,34.3,78.1,0.439,6.4,18.7,0.342,27.9,59.5,0.469,19.2,25.5,0.754,10.4,30.3,40.7,18.8,6.3,4.3,14.4,20.0,94.2,2010
Lg Rank,,5,1,5,2.0,14,20,5.0,1,3,2.0,19,20,11.0,8,15,11,1,3,6,12,25,2,2010
Year/Year,,-0.4%,-3.7%,-0.1%,-0.016,-11.3%,0.8%,-0.047,-1.7%,-0.3%,-0.007,-2.0%,0.2%,-0.017,-4.5%,-2.1%,-2.7%,-6.1%,-2.1%,6.0%,-5.0%,0.4%,-3.9%,2010
Team,82.0,19780,3031,6301,0.481,547,1479,0.37,2484,4822,0.515,1760,2288,0.769,790,2666,3456,1639,544,430,1142,1674,8369,2011
Team/G,,241.2,37.0,76.8,0.481,6.7,18.0,0.37,30.3,58.8,0.515,21.5,27.9,0.769,9.6,32.5,42.1,20.0,6.6,5.2,13.9,20.4,102.1,2011
Lg Rank,,20,19,29,2.0,11,15,7.0,18,27,2.0,3,3,12.0,27,2,9,26,26,9,11,14,8,2011
Year/Year,,-0.5%,1.6%,-3.3%,0.023,10.7%,3.7%,0.023,-0.2%,-5.3%,0.026,21.2%,18.5%,0.017,-9.7%,4.4%,0.8%,5.9%,-10.1%,-5.9%,5.8%,-2.1%,5.7%,2011
Opponent,82.0,19780,2869,6614,0.434,546,1584,0.345,2323,5030,0.462,1473,1980,0.744,864,2349,3213,1651,574,246,1081,1788,7757,2011
Opponent/G,,241.2,35.0,80.7,0.434,6.7,19.3,0.345,28.3,61.3,0.462,18.0,24.1,0.744,10.5,28.6,39.2,20.1,7.0,3.0,13.2,21.8,94.6,2011
Lg Rank,,20,5,13,2.0,18,21,9.0,1,7,4.0,10,17,3.0,9,2,2,5,9,1,28,5,6,2011
Year/Year,,-0.5%,2.0%,3.2%,-0.005,4.2%,3.5%,0.002,1.5%,3.1%,-0.008,-6.6%,-5.3%,-0.01,0.9%,-5.4%,-3.8%,6.9%,11.0%,-30.7%,-8.7%,9.1%,0.4%,2011
Team,66.0,16040,2446,5212,0.469,370,1030,0.359,2076,4182,0.496,1238,1598,0.775,686,2060,2746,1317,585,355,1002,1282,6500,2012
Team/G,,243.0,37.1,79.0,0.469,5.6,15.6,0.359,31.5,63.4,0.496,18.8,24.2,0.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5,2012
Lg Rank,,6,12,26,4.0,20,23,10.0,6,14,4.0,6,8,7.0,24,12,21,21,3,10,23,14,7,2012
Year/Year,,0.8%,0.3%,2.8%,-0.012,-16.0%,-13.5%,-0.011,3.8%,7.8%,-0.019,-12.6%,-13.2%,0.005,7.9%,-4.0%,-1.3%,-0.2%,33.6%,2.6%,9.0%,-4.9%,-3.5%,2012
